kind,id,name,field,value,raw_value
weapon,plank,Plank,is_dlc,-,-
weapon,plank,Plank,knockback,"{""tier1"": ""5"", ""tier2"": ""5"", ""tier3"": ""5"", ""tier4"": ""5""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=5
		|2|rare=5
		|3|epic=5
		|4|legendary=5"
weapon,plank,Plank,life_steal,"{""tier1"": ""0"", ""tier2"": ""0"", ""tier3"": ""0"", ""tier4"": ""0""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=0
		|2|rare=0
		|3|epic=0
		|4|legendary=0"
weapon,plank,Plank,price,"{""tier1"": ""15"", ""tier2"": ""31"", ""tier3"": ""61"", ""tier4"": ""122""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=15
		|2|rare=31
		|3|epic=61
		|4|legendary=122"
weapon,plank,Plank,range,"{""tier1"": ""150"", ""tier2"": ""150"", ""tier3"": ""150"", ""tier4"": ""150""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=150
		|2|rare=150
		|3|epic=150
		|4|legendary=150"
weapon,plank,Plank,rarity,1,1
weapon,plank,Plank,special,Hits have 25%/30%/35%/40% chance to explode.,Hits have {{Color|tier1|25%}}/{{Color|tier2|30%}}/{{Color|tier3|35%}}/{{Color|tier4|40%}} chance to explode.
weapon,plank,Plank,types,"Explosive, Elemental","[[Explosive]], [[Elemental]]"
weapon,plank,Plank,unlocked_by,Default,Default
weapon,plasma sledge,Plasma Sledge,attack_speed,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""1.55s"", ""tier4"": ""1.49s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=1.55s
		|4|legendary=1.49s"
weapon,plasma sledge,Plasma Sledge,attacktype,Sweep,Sweep
weapon,plasma sledge,Plasma Sledge,crit,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""x1.75 (3%)"", ""tier4"": ""x1.75 (3%)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=x1.75 (3%)
		|4|legendary=x1.75 (3%)"
weapon,plasma sledge,Plasma Sledge,damage,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""80(150% MeleeDamage150% ElementalDamage)"", ""tier4"": ""120(200% MeleeDamage200% ElementalDamage)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=80(150%{{StatIcon|MeleeDamage}}150%{{StatIcon|ElementalDamage}})
		|4|legendary=120(200%{{StatIcon|MeleeDamage}}200%{{StatIcon|ElementalDamage}})"
weapon,plasma sledge,Plasma Sledge,dps,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""51.6(96% MeleeDamage96% ElementalDamage)/s"", ""tier4"": ""80.5(134% MeleeDamage134% ElementalDamage)/s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=51.6(96%{{StatIcon|MeleeDamage}}96%{{StatIcon|ElementalDamage}})/s
		|4|legendary=80.5(134%{{StatIcon|MeleeDamage}}134%{{StatIcon|ElementalDamage}})/s"
weapon,plasma sledge,Plasma Sledge,is_dlc,-,-
weapon,plasma sledge,Plasma Sledge,knockback,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""30"", ""tier4"": ""30""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=30
		|4|legendary=30"
weapon,plasma sledge,Plasma Sledge,life_steal,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""0"", ""tier4"": ""0""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=0
		|4|legendary=0"
weapon,plasma sledge,Plasma Sledge,price,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""136"", ""tier4"": ""272""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=136
		|4|legendary=272"
weapon,plasma sledge,Plasma Sledge,range,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""175"", ""tier4"": ""175""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=175
		|4|legendary=175"
weapon,plasma sledge,Plasma Sledge,rarity,3,3
weapon,plasma sledge,Plasma Sledge,special,Hits have 25%/50% chance to explode.,Hits have {{Color|tier3|25%}}/{{Color|tier4|50%}} chance to explode.
weapon,plasma sledge,Plasma Sledge,types,"Elemental, Explosive","[[Elemental]], [[Explosive]]"
weapon,plasma sledge,Plasma Sledge,unlocked_by,Win a run with Knight,Win a run with [[File:Knight.png|link=Knight|x30px]] [[Knight]]
weapon,power fist,Power Fist,attack_speed,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""0.69s"", ""tier4"": ""0.59s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=0.69s
		|4|legendary=0.59s"
weapon,power fist,Power Fist,attacktype,Thrust,Thrust
weapon,power fist,Power Fist,crit,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""x1.5 (1%)"", ""tier4"": ""x1.5 (1%)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=x1.5 (1%)
		|4|legendary=x1.5 (1%)"
weapon,power fist,Power Fist,damage,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""40(100% MeleeDamage)"", ""tier4"": ""60(100% MeleeDamage)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=40(100%{{StatIcon|MeleeDamage}})
		|4|legendary=60(100%{{StatIcon|MeleeDamage}})"
weapon,power fist,Power Fist,dps,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""58.0(144% MeleeDamage)/s"", ""tier4"": ""101.7(169% MeleeDamage)/s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=58.0(144%{{StatIcon|MeleeDamage}})/s
		|4|legendary=101.7(169%{{StatIcon|MeleeDamage}})/s"
weapon,power fist,Power Fist,is_dlc,-,-
weapon,power fist,Power Fist,knockback,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""15"", ""tier4"": ""15""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=15
		|4|legendary=15"
weapon,power fist,Power Fist,life_steal,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""0"", ""tier4"": ""0""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=0
		|4|legendary=0"
weapon,power fist,Power Fist,price,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""110"", ""tier4"": ""221""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=110
		|4|legendary=221"
weapon,power fist,Power Fist,range,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""150"", ""tier4"": ""150""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=150
		|4|legendary=150"
weapon,power fist,Power Fist,rarity,3,3
weapon,power fist,Power Fist,special,Hits have 25%/50% chance to explode.,Hits have {{Color|tier3|25%}}/{{Color|tier4|50%}} chance to explode.
weapon,power fist,Power Fist,types,"Unarmed, Explosive","[[Unarmed]], [[Explosive]]"
weapon,power fist,Power Fist,unlocked_by,Win a run with Brawler,Win a run with [[File:Brawler.png|link=Brawler|x30px]] [[Brawler]]
weapon,pruner,Pruner,attack_speed,"{""tier1"": ""1.14s"", ""tier2"": ""1.06s"", ""tier3"": ""0.98s"", ""tier4"": ""0.89s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=1.14s
		|2|rare=1.06s
		|3|epic=0.98s
		|4|legendary=0.89s"
weapon,pruner,Pruner,attacktype,Thrust,Thrust
weapon,pruner,Pruner,crit,"{""tier1"": ""x1.25 (3%)"", ""tier2"": ""x1.5 (6%)"", ""tier3"": ""x1.75 (9%)"", ""tier4"": ""x2 (12%)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=x1.25 (3%)
		|2|rare=x1.5 (6%)
		|3|epic=x1.75 (9%)
		|4|legendary=x2 (12%)"
weapon,pruner,Pruner,damage,"{""tier1"": ""10(50% MeleeDamage)"", ""tier2"": ""15(65% MeleeDamage)"", ""tier3"": ""20(80% MeleeDamage)"", ""tier4"": ""25(100% MeleeDamage)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=10(50%{{StatIcon|MeleeDamage}})
		|2|rare=15(65%{{StatIcon|MeleeDamage}})
		|3|epic=20(80%{{StatIcon|MeleeDamage}})
		|4|legendary=25(100%{{StatIcon|MeleeDamage}})"
weapon,pruner,Pruner,dps,"{""tier1"": ""8.8(43% MeleeDamage)/s"", ""tier2"": ""14.2(61% MeleeDamage)/s"", ""tier3"": ""20.4(81% MeleeDamage)/s"", ""tier4"": ""28.1(112% MeleeDamage)/s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=8.8(43%{{StatIcon|MeleeDamage}})/s
		|2|rare=14.2(61%{{StatIcon|MeleeDamage}})/s
		|3|epic=20.4(81%{{StatIcon|MeleeDamage}})/s
		|4|legendary=28.1(112%{{StatIcon|MeleeDamage}})/s"
weapon,pruner,Pruner,is_dlc,-,-
weapon,pruner,Pruner,knockback,"{""tier1"": ""2"", ""tier2"": ""2"", ""tier3"": ""2"", ""tier4"": ""2""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=2
		|2|rare=2
		|3|epic=2
		|4|legendary=2"
weapon,pruner,Pruner,life_steal,"{""tier1"": ""0"", ""tier2"": ""0"", ""tier3"": ""0"", ""tier4"": ""0""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=0
		|2|rare=0
		|3|epic=0
		|4|legendary=0"
weapon,pruner,Pruner,price,"{""tier1"": ""15"", ""tier2"": ""28"", ""tier3"": ""52"", ""tier4"": ""95""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=15
		|2|rare=28
		|3|epic=52
		|4|legendary=95"
weapon,pruner,Pruner,range,"{""tier1"": ""150"", ""tier2"": ""150"", ""tier3"": ""150"", ""tier4"": ""150""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=150
		|2|rare=150
		|3|epic=150
		|4|legendary=150"
weapon,pruner,Pruner,rarity,1,1
weapon,pruner,Pruner,special,Spawns a garden that creates a fruit every 15/14/12/10 seconds,Spawns a garden that creates a fruit every 	{{Color|tier1|15}}/{{Color|tier2|14}}/{{Color|tier3|12}}/{{Color|tier4|10}} seconds
weapon,pruner,Pruner,types,Support,[[Support]]
weapon,pruner,Pruner,unlocked_by,Default,Default
weapon,rock,Rock,attack_speed,"{""tier1"": ""1.68s"", ""tier2"": ""1.61s"", ""tier3"": ""1.53s"", ""tier4"": ""1.46s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=1.68s
		|2|rare=1.61s
		|3|epic=1.53s
		|4|legendary=1.46s"
weapon,rock,Rock,attacktype,Thrust,Thrust
weapon,rock,Rock,crit,"{""tier1"": ""x1.5 (10%)"", ""tier2"": ""x1.5 (15%)"", ""tier3"": ""x1.5 (20%)"", ""tier4"": ""x1.5 (25%)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=x1.5 (10%)
		|2|rare=x1.5 (15%)
		|3|epic=x1.5 (20%)
		|4|legendary=x1.5 (25%)"
weapon,rock,Rock,damage,"{""tier1"": ""20(100% MeleeDamage)"", ""tier2"": ""35(100% MeleeDamage)"", ""tier3"": ""50(100% MeleeDamage)"", ""tier4"": ""70(100% MeleeDamage)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=20(100%{{StatIcon|MeleeDamage}})
		|2|rare=35(100%{{StatIcon|MeleeDamage}})
		|3|epic=50(100%{{StatIcon|MeleeDamage}})
		|4|legendary=70(100%{{StatIcon|MeleeDamage}})"
weapon,rock,Rock,dps,"{""tier1"": ""11.9(59% MeleeDamage)/s"", ""tier2"": ""21.7(62% MeleeDamage)/s"", ""tier3"": ""32.7(65% MeleeDamage)/s"", ""tier4"": ""47.9(68% MeleeDamage)/s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=11.9(59%{{StatIcon|MeleeDamage}})/s
		|2|rare=21.7(62%{{StatIcon|MeleeDamage}})/s
		|3|epic=32.7(65%{{StatIcon|MeleeDamage}})/s
		|4|legendary=47.9(68%{{StatIcon|MeleeDamage}})/s"
weapon,rock,Rock,is_dlc,-,-
weapon,rock,Rock,knockback,"{""tier1"": ""5"", ""tier2"": ""5"", ""tier3"": ""5"", ""tier4"": ""5""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=5
		|2|rare=5
		|3|epic=5
		|4|legendary=5"
weapon,rock,Rock,life_steal,"{""tier1"": ""0"", ""tier2"": ""0"", ""tier3"": ""0"", ""tier4"": ""0""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=0
		|2|rare=0
		|3|epic=0
		|4|legendary=0"
weapon,rock,Rock,price,"{""tier1"": ""10"", ""tier2"": ""22"", ""tier3"": ""45"", ""tier4"": ""91""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=10
		|2|rare=22
		|3|epic=45
		|4|legendary=91"
weapon,rock,Rock,range,"{""tier1"": ""150"", ""tier2"": ""150"", ""tier3"": ""150"", ""tier4"": ""150""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=150
		|2|rare=150
		|3|epic=150
		|4|legendary=150"
weapon,rock,Rock,rarity,1,1
weapon,rock,Rock,special,"-/+1 Armor/+1 Armor, +2 Max HP/+2 Armor, +2 Max HP","{{Color|tier1|-}}/{{Color|tier2|+1 Armor}}/{{Color|tier3|+1 Armor, +2 Max HP}}/{{Color|tier4|+2 Armor, +2 Max HP}}"
weapon,rock,Rock,types,"Primitive, Blunt","[[Primitive]], [[Blunt]]"
weapon,rock,Rock,unlocked_by,Default,Default
weapon,scissors,Scissors,attack_speed,"{""tier1"": ""1.01s"", ""tier2"": ""0.98s"", ""tier3"": ""0.94s"", ""tier4"": ""0.86s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=1.01s
		|2|rare=0.98s
		|3|epic=0.94s
		|4|legendary=0.86s"
weapon,scissors,Scissors,attacktype,Thrust,Thrust
weapon,scissors,Scissors,crit,"{""tier1"": ""x2 (10%)"", ""tier2"": ""x2.15 (12%)"", ""tier3"": ""x2.3 (15%)"", ""tier4"": ""x2.5 (20%)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=x2 (10%)
		|2|rare=x2.15 (12%)
		|3|epic=x2.3 (15%)
		|4|legendary=x2.5 (20%)"
weapon,scissors,Scissors,damage,"{""tier1"": ""5(80% MeleeDamage)"", ""tier2"": ""10(80% MeleeDamage)"", ""tier3"": ""15(80% MeleeDamage)"", ""tier4"": ""20(80% MeleeDamage)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=5(80%{{StatIcon|MeleeDamage}})
		|2|rare=10(80%{{StatIcon|MeleeDamage}})
		|3|epic=15(80%{{StatIcon|MeleeDamage}})
		|4|legendary=20(80%{{StatIcon|MeleeDamage}})"
weapon,scissors,Scissors,dps,"{""tier1"": ""5.0(79% MeleeDamage)/s"", ""tier2"": ""10.2(81% MeleeDamage)/s"", ""tier3"": ""16.0(85% MeleeDamage)/s"", ""tier4"": ""23.3(93% MeleeDamage)/s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=5.0(79%{{StatIcon|MeleeDamage}})/s
		|2|rare=10.2(81%{{StatIcon|MeleeDamage}})/s
		|3|epic=16.0(85%{{StatIcon|MeleeDamage}})/s
		|4|legendary=23.3(93%{{StatIcon|MeleeDamage}})/s"
weapon,scissors,Scissors,is_dlc,-,-
weapon,scissors,Scissors,knockback,"{""tier1"": ""2"", ""tier2"": ""2"", ""tier3"": ""2"", ""tier4"": ""2""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=2
		|2|rare=2
		|3|epic=2
		|4|legendary=2"
weapon,scissors,Scissors,life_steal,"{""tier1"": ""40%"", ""tier2"": ""45%"", ""tier3"": ""50%"", ""tier4"": ""60%""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=40%
		|2|rare=45%
		|3|epic=50%
		|4|legendary=60%"
weapon,scissors,Scissors,price,"{""tier1"": ""15"", ""tier2"": ""31"", ""tier3"": ""61"", ""tier4"": ""122""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=15
		|2|rare=31
		|3|epic=61
		|4|legendary=122"
weapon,scissors,Scissors,range,"{""tier1"": ""150"", ""tier2"": ""150"", ""tier3"": ""150"", ""tier4"": ""150""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=150
		|2|rare=150
		|3|epic=150
		|4|legendary=150"
weapon,scissors,Scissors,rarity,1,1
weapon,scissors,Scissors,special,,
weapon,scissors,Scissors,types,"Medical, Precise","[[Medical]], [[Precise]]"
weapon,scissors,Scissors,unlocked_by,Default,Default
weapon,screwdriver,Screwdriver,attack_speed,"{""tier1"": ""1.05s"", ""tier2"": ""1.0s"", ""tier3"": ""0.97s"", ""tier4"": ""0.87s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=1.05s
		|2|rare=1.0s
		|3|epic=0.97s
		|4|legendary=0.87s"
weapon,screwdriver,Screwdriver,attacktype,Thrust,Thrust
weapon,screwdriver,Screwdriver,crit,"{""tier1"": ""x2 (10%)"", ""tier2"": ""x2 (15%)"", ""tier3"": ""x2 (20%)"", ""tier4"": ""x2 (30%)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=x2 (10%)
		|2|rare=x2 (15%)
		|3|epic=x2 (20%)
		|4|legendary=x2 (30%)"
weapon,screwdriver,Screwdriver,damage,"{""tier1"": ""8(50% MeleeDamage50% Engineering)"", ""tier2"": ""12(50% MeleeDamage50% Engineering)"", ""tier3"": ""16(50% MeleeDamage50% Engineering)"", ""tier4"": ""20(50% MeleeDamage50% Engineering)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=8(50%{{StatIcon|MeleeDamage}}50%{{StatIcon|Engineering}})
		|2|rare=12(50%{{StatIcon|MeleeDamage}}50%{{StatIcon|Engineering}})
		|3|epic=16(50%{{StatIcon|MeleeDamage}}50%{{StatIcon|Engineering}})
		|4|legendary=20(50%{{StatIcon|MeleeDamage}}50%{{StatIcon|Engineering}})"
weapon,screwdriver,Screwdriver,dps,"{""tier1"": ""7.6(47% MeleeDamage47% Engineering)/s"", ""tier2"": ""12.0(50% MeleeDamage50% Engineering)/s"", ""tier3"": ""16.5(51% MeleeDamage51% Engineering)/s"", ""tier4"": ""23.0(57% MeleeDamage57% Engineering)/s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=7.6(47%{{StatIcon|MeleeDamage}}47%{{StatIcon|Engineering}})/s
		|2|rare=12.0(50%{{StatIcon|MeleeDamage}}50%{{StatIcon|Engineering}})/s
		|3|epic=16.5(51%{{StatIcon|MeleeDamage}}51%{{StatIcon|Engineering}})/s
		|4|legendary=23.0(57%{{StatIcon|MeleeDamage}}57%{{StatIcon|Engineering}})/s"
weapon,screwdriver,Screwdriver,is_dlc,-,-
weapon,screwdriver,Screwdriver,knockback,"{""tier1"": ""3"", ""tier2"": ""3"", ""tier3"": ""3"", ""tier4"": ""3""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=3
		|2|rare=3
		|3|epic=3
		|4|legendary=3"
weapon,screwdriver,Screwdriver,life_steal,"{""tier1"": ""0"", ""tier2"": ""0"", ""tier3"": ""0"", ""tier4"": ""0""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=0
		|2|rare=0
		|3|epic=0
		|4|legendary=0"
weapon,screwdriver,Screwdriver,price,"{""tier1"": ""10"", ""tier2"": ""22"", ""tier3"": ""45"", ""tier4"": ""91""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=10
		|2|rare=22
		|3|epic=45
		|4|legendary=91"
weapon,screwdriver,Screwdriver,range,"{""tier1"": ""125"", ""tier2"": ""125"", ""tier3"": ""125"", ""tier4"": ""125""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=125
		|2|rare=125
		|3|epic=125
		|4|legendary=125"
weapon,screwdriver,Screwdriver,rarity,1,1
weapon,screwdriver,Screwdriver,special,A landmine spawns every 12s/9s/6s/3s dealing 10(100% Engineering) damage in an area,A landmine spawns every {{Color|tier1|12s}}/{{Color|tier2|9s}}/{{Color|tier3|6s}}/{{Color|tier4|3s}} dealing 10(100%{{StatIcon|Engineering}}) damage in an area
weapon,screwdriver,Screwdriver,types,Tool,[[Tool]]
weapon,screwdriver,Screwdriver,unlocked_by,Default,Default
weapon,scythe,Scythe,attack_speed,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""-"", ""tier4"": ""0.72s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=-
		|4|legendary=0.72s"
weapon,scythe,Scythe,crit,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""-"", ""tier4"": ""x2 (3%)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=-
		|4|legendary=x2 (3%)"
weapon,scythe,Scythe,damage,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""-"", ""tier4"": ""150(150% MeleeDamage100% LifeSteal)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=-
		|4|legendary=150(150%{{StatIcon|MeleeDamage}}100%{{StatIcon|LifeSteal}})"
weapon,scythe,Scythe,dps,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""-"", ""tier4"": ""208.3(208.3% MeleeDamage138.9% LifeSteal)/s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=-
		|4|legendary=208.3(208.3%{{StatIcon|MeleeDamage}}138.9%{{StatIcon|LifeSteal}})/s"
weapon,scythe,Scythe,is_dlc,-,-
weapon,scythe,Scythe,knockback,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""-"", ""tier4"": ""5""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=-
		|4|legendary=5"
weapon,scythe,Scythe,life_steal,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""-"", ""tier4"": ""100%""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=-
		|4|legendary=100%"
weapon,scythe,Scythe,price,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""-"", ""tier4"": ""285""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=-
		|4|legendary=285"
weapon,scythe,Scythe,range,"{""tier1"": ""-"", ""tier2"": ""-"", ""tier3"": ""-"", ""tier4"": ""250""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=-
		|2|rare=-
		|3|epic=-
		|4|legendary=250"
weapon,scythe,Scythe,rarity,4,4
weapon,scythe,Scythe,special,"You take 3 damage per second (does not give invulnerability time).
+3 % Damage when you take damage until the end of the wave",You take {{Color|red|3}} damage per second (does not give invulnerability time).<br>{{Color|green|+3 % Damage}} when you take damage until the end of the wave
weapon,scythe,Scythe,types,"Legendary, Ethereal","[[Legendary]], [[Ethereal]]"
weapon,scythe,Scythe,unlocked_by,Default,Default
weapon,spear,Spear,attack_speed,"{""tier1"": ""1.52s"", ""tier2"": ""1.4s"", ""tier3"": ""1.28s"", ""tier4"": ""1.24s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=1.52s
		|2|rare=1.4s
		|3|epic=1.28s
		|4|legendary=1.24s"
weapon,spear,Spear,attacktype,Thrust,Thrust
weapon,spear,Spear,crit,"{""tier1"": ""x2 (3%)"", ""tier2"": ""x2 (3%)"", ""tier3"": ""x2 (3%)"", ""tier4"": ""x2 (3%)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=x2 (3%)
		|2|rare=x2 (3%)
		|3|epic=x2 (3%)
		|4|legendary=x2 (3%)"
weapon,spear,Spear,damage,"{""tier1"": ""15(100% MeleeDamage)"", ""tier2"": ""25(100% MeleeDamage)"", ""tier3"": ""40(100% MeleeDamage)"", ""tier4"": ""60(100% MeleeDamage)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=15(100%{{StatIcon|MeleeDamage}})
		|2|rare=25(100%{{StatIcon|MeleeDamage}})
		|3|epic=40(100%{{StatIcon|MeleeDamage}})
		|4|legendary=60(100%{{StatIcon|MeleeDamage}})"
weapon,spear,Spear,dps,"{""tier1"": ""9.9(65% MeleeDamage)/s"", ""tier2"": ""17.9(71% MeleeDamage)/s"", ""tier3"": ""31.2(78% MeleeDamage)/s"", ""tier4"": ""48.4(80% MeleeDamage)/s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=9.9(65%{{StatIcon|MeleeDamage}})/s
		|2|rare=17.9(71%{{StatIcon|MeleeDamage}})/s
		|3|epic=31.2(78%{{StatIcon|MeleeDamage}})/s
		|4|legendary=48.4(80%{{StatIcon|MeleeDamage}})/s"
weapon,spear,Spear,is_dlc,-,-
weapon,spear,Spear,knockback,"{""tier1"": ""0"", ""tier2"": ""0"", ""tier3"": ""0"", ""tier4"": ""0""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=0
		|2|rare=0
		|3|epic=0
		|4|legendary=0"
weapon,spear,Spear,life_steal,"{""tier1"": ""0"", ""tier2"": ""0"", ""tier3"": ""0"", ""tier4"": ""0""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=0
		|2|rare=0
		|3|epic=0
		|4|legendary=0"
weapon,spear,Spear,price,"{""tier1"": ""20"", ""tier2"": ""39"", ""tier3"": ""74"", ""tier4"": ""149""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=20
		|2|rare=39
		|3|epic=74
		|4|legendary=149"
weapon,spear,Spear,range,"{""tier1"": ""350"", ""tier2"": ""375"", ""tier3"": ""400"", ""tier4"": ""500""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=350
		|2|rare=375
		|3|epic=400
		|4|legendary=500"
weapon,spear,Spear,rarity,1,1
weapon,spear,Spear,special,,
weapon,spear,Spear,types,Primitive,[[Primitive]]
weapon,spear,Spear,unlocked_by,Default,Default
weapon,spiky shield,Spiky Shield,attack_speed,"{""tier1"": ""1.16s"", ""tier2"": ""1.16s"", ""tier3"": ""1.16s"", ""tier4"": ""1.01s""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=1.16s
		|2|rare=1.16s
		|3|epic=1.16s
		|4|legendary=1.01s"
weapon,spiky shield,Spiky Shield,attacktype,Thrust,Thrust
weapon,spiky shield,Spiky Shield,crit,"{""tier1"": ""x2 (3%)"", ""tier2"": ""x2 (3%)"", ""tier3"": ""x2 (3%)"", ""tier4"": ""x2 (3%)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=x2 (3%)
		|2|rare=x2 (3%)
		|3|epic=x2 (3%)
		|4|legendary=x2 (3%)"
weapon,spiky shield,Spiky Shield,damage,"{""tier1"": ""10(100% Armor)"", ""tier2"": ""15(125% Armor)"", ""tier3"": ""20(150% Armor)"", ""tier4"": ""30(200% Armor)""}","{{#switch:{{lc:{{{3|}}}}}
		|1|common=10(100%{{StatIcon|Armor}})
		|2|rare=15(125%{{StatIcon|Armor}})
		|3|epic=20(150%{{StatIcon|Armor}})
		|4|legendary=30(200%{{StatIcon|Armor}})"
